"ALL GROUPS","TOUS LES GROUPES"
"Customer Group","Groupe de clients"
"Minimum Qty","Quantité mini"
"Add Minimum Qty","Ajouter une quantité mini"
"The stock item for Product is not valid.","L'article en stock pour ce produit n'est pas valide."
"The stock item for Product in option is not valid.","L'article en stock pour cette option du produit n'est pas valide."
"No Backorders","Pas de commandes au delà des stocks"
"Allow Qty Below 0","Autoriser les quantités négatives"
"Allow Qty Below 0 and Notify Customer","Autoriser les quantités négatives et prévenir le client"
"In Stock","En stock"
"Out of Stock",Épuisé
"Only %1 left","Plus que %1 en stock"
"Product Name","Nom du produit"
Qty,Qté
Inventory,Inventaire
"Stock Options","Options de stock"
"Decrease Stock When Order is Placed","Décrémenter le stock quand la commande est validée"
"Set Items' Status to be In Stock When Order is Cancelled","Passer le statut des articles à ""Disponible"" quand une commande est annulée"
"Display Out of Stock Products","Afficher les produits épuisés"
"Only X left Threshold","Seuil pour afficher 'Plus que X produits restant'"
"Product Stock Options","Options de stock de produits"
"Manage Stock","Gérer les stocks"
Backorders,"Commande en rupture de stock"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Automatically Return Credit Memo Item to Stock","Remettre automatiquement en stock un article faisant l'objet d'un avoir"
"Enable Qty Increments","Activer les incréments de quantités"
"Qty Increments","Incréments de quantités"
Quantity,Quantité
