"Now Shopping by","Filtrer par"
Previous,Précédent
Remove,Supprimer
"Remove This Item","Supprimer cet élément"
"Shop By","Filtrer par"
"Clear All","Tout supprimer"
"Shopping Options","Affiner la recherche"
"%name,","%name,"
"Welcome to %store_name.","Bienvenue sur %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pour vous connecter sur notre boutique, utilisez les identifiants renseignés lors de votre commande ou en vous rendant sur la page <a href=""%customer_url"">Mon compte</a> :"
Email:,"Email :"
Password:,"Mot de passe :"
"Password you set when creating account","Celui que vous avez défini lors de la création de votre compte"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Mot de passe oublié ? Cliquez <a href=""%reset_url"">ici</a> pour le réinitialiser."
"When you sign in to your account, you will be able to:","Lorsque vous vous connecter à votre compte, vous pourrez :"
"Quick Checkout","Commande rapide"
"Proceed through checkout faster","Passer vos commandes plus rapidement"
"Order Status",Statut
"Check the status of orders","Vérifier le statut des commandes"
"Manage Addresses","Gérer les adresses"
"Store alternative addresses","Enregistrer plusieurs adresses"
"For shipping to multiple family members and friends","Pour expédier à votre famille ou vos amis"
"Order History",Historique
"View past orders","Voir vos commandes précédentes"
"About Us","Qui sommes-nous ?"
"Customer Service","Service client"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Service client :<br /><span class=""no-link"">%store_hours</span>."
"Thank you for your order from %store_name.","Merci de votre commande sur %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Vous pouvez suivre le statut de votre commande en <a href=""%account_url"">vous connectant à votre compte</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Si vous avez des questions concernant votre commande, vous pouvez nous envoyer un email à l'adresse <a href=""mailto:%store_email"">%store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","Votre avoir #%creditmemo_id pour la commande #%order_id"
"Billing Info","Informations de facturation"
"Shipping Info","Informations de livraison"
"Payment Method","Mode de paiement"
"Shipping Method","Mode de livraison"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Votre commande #%increment_id a été mise à jour. Son nouveau statut est maintenant <strong>%order_status</strong>."
"Your Invoice #%invoice_id for Order #%order_id","Votre facture #%invoice_id pour la commande #%order_id"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Lorsque votre commande sera prête nous vous enverrons les numéros de suivi de livraison."
"Your Order <span class=""no-link"">#%increment_id</span>","Votre commande <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Passée le <span class=""no-link"">%created_at</span>"
"Your shipping confirmation is below. Thank you again for your business.","Ci-dessous votre confirmation de l'expédition. Encore merci de votre achat."
"Your Shipment #%shipment_id for Order #%order_id","Livraison #%shipment_id pour la commande #%order_id"
