"Gift Messages is not applicable for empty cart","Les messages cadeau ne sont pas utilisables lorsque le panier est vide"
"Gift Messages is not applicable for virtual products","Les messages cadeaux ne sont pas utilisables pour les produits virtuels"
"Gift Message is not available","Messages cadeau indisponibles"
"Could not add gift message to shopping cart","Impossible d'ajouter un message cadeau au panier"
"There is no item with provided id in the cart","Aucun article trouvé dans le panier avec cet ID"
"There is no product with provided  itemId: %1 in the cart","Aucun article trouvé dans le panier avec cet ID : %1"
"There is no item with provided id in the order","Aucun article trouvé dans la commande avec cet ID"
"There is no item with provided id in the order or gift message isn't allowed","Aucun article trouvé dans la commande avec cet ID ou les messages cadeau ne sont pas autorisés"
"Could not add gift message to order: ""%1""","Impossible d'ajouter un message cadeau à la commande : ""%1"""
"There is no order with provided id or gift message isn't allowed","Aucune commande trouvée avec cet ID ou les messages cadeau ne sont pas autorisés"
"There is no order with provided id","Aucune commande trouvée avec cet ID"
"Gift Messages is not applicable for empty order","Les messages cadeau ne sont pas utilisables pour une commande vide"
"Could not add gift message to order's item: ""%1""","Impossible d'ajouter un message cadeau pour l'article ""%1"""
"Unknown entity type","Type d'entité inconnu"
From,De
To,À
Message,Message
Cancel,Annuler
OK,OK
"Gift Options","Options cadeau"
"Gift Message","Message du cadeau"
"Do you have any gift items in your order?","Y a-t-il des articles cadeaux dans votre commande ?"
"Add gift options","Ajouter des options cadeau"
"Gift Options for the Entire Order","Options cadeau pour toute la commande"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Laisser ce champ vide si vous ne voulez pas laisser un message cadeau pour toute la commande."
"Gift Options for Individual Items","Options cadeau pour les articles individuels"
"<span>Item %1</span> of %2","<span>Article %1</span> sur %2"
"Leave a box blank if you don't want to add a gift message for that item.","Laisser ce champ vide si vous ne voulez pas laisser un message cadeau pour cet article."
"Add Gift Options for the Entire Order","Ajouter des options cadeau pour toute la commande"
"You can leave this box blank if you don't want to add a gift message for this address.","Vous pouvez laisser ce champ vide si vous ne voulez pas laisser un message cadeau pour cette adresse."
"Add gift options for Individual Items","Ajouter des options cadeau pour les articles individuels"
"You can leave this box blank if you don't want to add a gift message for the item.","Vous pouvez laisser ce champ vide si vous ne voulez pas laisser un message cadeau pour cet article."
"Allow Gift Messages on Order Level","Autoriser les messages cadeau au niveau de la commande"
"Allow Gift Messages for Order Items","Autoriser les messages cadeau pour chaque article"
